Title,Subhead,URL,Premium,Byline,Article type,Image
 France and Germany seek to showcase military cooperation after FCAS collapse  ,President Emmanuel Macron and Chancellor Friedrich Merz were to hold a joint defense council and the traditional French-German Council of Ministers on Friday in North Rhine-Westphalia.,https://www.lemonde.fr/en/international/article/2026/07/17/from-bruhl-france-and-germany-seek-to-showcase-their-military-cooperation-after-fcas-collapse_6755561_4.html,Yes,No,N/A,https://img.lemde.fr/2026/07/14/0/0/7999/5333/400/266/75/0/faf2c66_upload-1-nnp3iiqk0z8w-jmug260713017.jpg
Zelensky sparks Ukraine political crisis with cabinet reshuffle,N/A,https://www.lemonde.fr/en/international/article/2026/07/17/zelensky-sparks-ukraine-political-crisis-with-cabinet-reshuffle_6755567_4.html,Yes,No,N/A,https://img.lemde.fr/2026/07/16/354/0/2953/1968/398/265/75/0/ba6a63e_upload-1-52qhmqrnv9is-2026-07-16-heg-ukraine-0159.JPG
Trump revives election fraud claims ahead of midterms,N/A,https://www.lemonde.fr/en/international/article/2026/07/17/trump-accuses-china-of-largest-compromise-of-2020-us-election-data_6755558_4.html,No,No,N/A,https://img.lemde.fr/2026/07/17/0/0/5305/3537/398/265/75/0/9106bc4_ftp-1-30m3rvypbupn-eb65f24d081e4d03806456bac33c98bb-0-4cd9961f76744385847f4a49bd9771d4.jpg
"Behind the scenes of Macron's last G7, as told by photographer Kamil Zihnioglu","There is protocol, and then there is Donald Trump. That, in essence, is what photographer Kamil Zihnioglu took away from his three days covering the G7 summit in Evian-les-Bains for Le Monde.",https://www.lemonde.fr/en/international/article/2026/07/17/behind-the-scenes-of-emmanuel-macron-s-last-g7-as-told-by-photographer-kamil-zihnioglu_6755560_4.html,Yes,No,N/A,https://img.lemde.fr/2026/06/18/0/0/5000/3333/398/265/75/0/5fc8fd6_upload-1-m5nwut8a843f-kzihnioglu-evian-g7-15062026-3-55.JPG
"'Contemporary films about the Occupation in France sound alarm bells, with varying degrees of subtlety'","The abundance of films about World War II helps explain how the gradual abandonment of democratic and republican values led to disaster, writes historian Henry Rousso in this op-ed for Le Monde.",https://www.lemonde.fr/en/opinion/article/2026/07/17/contemporary-films-about-the-occupation-in-france-sound-alarm-bells-with-varying-degrees-of-subtlety_6755557_23.html,Yes,No,N/A,https://img.lemde.fr/2026/02/25/0/0/1500/1000/398/265/75/0/341d0ec_upload-1-nakzuxwtpcxx-frame-1413.jpg
'Sometimes I wake up in the night and I can't move': What is sleep paralysis?,"This temporary phenomenon is linked to the persistence of muscle atonia associated with REM sleep. It can come with visual, auditory, or tactile hallucinations, often frightening.",https://www.lemonde.fr/en/summer-reads/article/2026/07/17/sometimes-i-wake-up-in-the-night-and-i-can-t-move-what-is-sleep-paralysis_6755559_183.html,Yes,No,N/A,https://img.lemde.fr/2026/07/09/0/0/3000/2000/398/265/75/0/10f032a_upload-1-lr1m9ok0gokd-76d3829fhmdr7jxfyv3etrangenuitrvb.jpg
The troubling Russian connections of a 'European' password manager,"Although it presents itself as a Spanish company, Passwork was actually developed in Russia and operates with a license from Russia's FSB domestic intelligence agency. The situation raises major security questions for its customers, including several French companies.",https://www.lemonde.fr/en/pixels/article/2026/07/17/the-troubling-russian-connections-of-a-european-password-manager_6755564_13.html,No, Damien Leloup,N/A,https://img.lemde.fr/2026/07/09/0/0/3000/2000/664/442/75/0/c10e2e3_upload-1-prwrdqrioib1-illustration-sans-titre-23.jpg
Who are the people setting France's forests ablaze?,N/A,https://www.lemonde.fr/en/les-decodeurs/article/2026/07/16/who-are-the-people-setting-france-s-forests-ablaze_6755553_8.html,Yes,No,N/A,https://img.lemde.fr/2026/07/15/0/0/6192/4128/198/132/95/0/afe89db_upload-1-npa6yzmjklcs-incendie-en-foret-de-fontainebleau-79.jpg
Economist Olivier Blanchard: 'France's budget process is flawed and increases the risk of a debt crisis',N/A,https://www.lemonde.fr/en/opinion/article/2026/07/17/economist-olivier-blanchard-france-s-budget-process-is-flawed-and-increases-the-risk-of-a-debt-crisis_6755563_23.html,Yes,No,N/A,https://img.lemde.fr/2026/02/25/0/0/1500/1000/198/132/95/0/48f8e23_upload-1-cupttdbvkahu-frame-842.jpg
US launches new strikes on Iran as Tehran warns of reprisals,N/A,https://www.lemonde.fr/en/international/article/2026/07/17/us-launches-new-strikes-on-iran-as-tehran-warns-of-reprisals_6755565_4.html,No,No,N/A,https://img.lemde.fr/2026/07/17/0/400/4320/2880/198/132/95/0/8834771_ftp-1-dxum3crp9q7f-2026-07-17t024315z-974955948-rc2efmabxyfk-rtrmadp-3-iran-crisis-usa-strikes-targets.JPG
European Broadcasting Union shares new guidelines to avoid sexualizing female athletes,N/A,https://www.lemonde.fr/en/sports/article/2026/07/17/before-the-european-athletics-championships-broadcasters-receive-recommendations-to-film-female-athletes-with-dignity-and-respect_6755562_9.html,No,No,N/A,https://img.lemde.fr/2026/07/16/0/0/5290/3526/198/132/95/0/49400a9_upload-1-2dah6cx6d81t-000-b8l36n8.jpg
Macron shows support for Fontainebleau firefighters after criticism,N/A,https://www.lemonde.fr/en/politics/article/2026/07/17/every-time-a-fire-breaks-out-it-is-our-national-territory-that-is-under-attack-in-fontainebleau-macron-shows-support-for-firefighters-and-responds-to-criticism_6755555_5.html,Yes,No,N/A,No URL
France faces water shortages: 'Conservation must become a collective reflex',N/A,https://www.lemonde.fr/en/environment/article/2026/07/16/france-faces-water-shortages-after-successive-heatwaves-conservation-must-become-a-collective-reflex_6755535_114.html,Yes,No,N/A,No URL
Canadian wildfire smoke chokes US cities from Midwest to Northeast,N/A,https://www.lemonde.fr/en/environment/article/2026/07/16/canadian-wildfire-smoke-chokes-us-cities-from-midwest-to-northeast_6755550_114.html,No,No,N/A,No URL
"France, Morocco sign new partnership despite spyware controversy",N/A,https://www.lemonde.fr/en/international/article/2026/07/16/france-morocco-sign-new-partnership-despite-spyware-controversy_6755548_4.html,No,No,N/A,No URL
"Bayeux Tapestry suffered no visible damage during journey, French official says",N/A,https://www.lemonde.fr/en/culture/article/2026/07/17/bayeux-tapestry-suffered-no-visible-damage-during-journey-french-official-says_6755566_30.html,No,No,N/A,No URL
Tour de France: Tim Merlier claims third stage win,N/A,https://www.lemonde.fr/en/sports/article/2026/07/16/tour-de-france-tim-merlier-claims-third-stage-win_6755547_9.html,No,No,N/A,No URL
Trump tightens visa limits for international students and foreign press,N/A,https://www.lemonde.fr/en/international/article/2026/07/16/trump-tightens-visa-limits-for-international-students-and-foreign-press_6755549_4.html,No,No,N/A,No URL
"As her deputy questions promise to ban headscarves, Le Pen doubles down",N/A,https://www.lemonde.fr/en/politics/article/2026/07/16/as-her-deputy-questions-promise-to-ban-headscarves-le-pen-doubles-down_6755519_5.html,Yes,No,N/A,No URL
'It's Mad Max on the ocean': The cocaine-loaded speedboats racing to Europe's shores,"In the Atlantic, hundreds of powerful go-fast boats, custom-built to transport tons of cocaine, retrieve shipments from vessels traveling commercial routes between South America, Africa and Europe, according to an investigation by Le Monde in partnership with NDR, WDR, Süddeutsche Zeitung, NRC, IrpiMedia and The Washington Post.",https://www.lemonde.fr/en/videos/article/2026/07/16/mad-max-on-the-ocean-the-cocaine-loaded-speedboats-racing-to-europe-s-shores_6755521_108.html,No," Liselotte Mas,  Elsa Delmas and  Thomas Saintourens",N/A,https://img.lemde.fr/2026/07/15/0/0/2047/1364/664/442/75/0/8277ab7_upload-1-6ocg2ryaqfdf-frame-2.jpg
Morocco's frenzy for purchasing surveillance tools revealed by whistleblower,"Keyloggers installed via USB stick, phones sold with pre-installed spyware, wiretapping and hidden cameras... In addition to the Pegasus spyware, Morocco has assembled a powerful arsenal of repressive tools that it deploys against journalists and political targets.",https://www.lemonde.fr/en/pixels/article/2026/07/16/morocco-s-frenzy-for-purchasing-surveillance-tools-revealed-by-whistleblower_6755524_13.html,No, Damien Leloup and  Martin Untersinger,N/A,https://img.lemde.fr/2026/07/10/0/0/3000/2000/664/442/75/0/d9f1c6b_upload-1-yzxmbgfltolx-pegasus-tete-final.jpg
Visualize the full extent of wildfires across Europe in recent weeks,The burned areas across the European continent have already far surpassed levels seen in recent years and are now approaching the maximum recorded in 2025.,https://www.lemonde.fr/en/les-decodeurs/article/2026/07/14/visualize-the-full-extent-of-wildfires-across-europe-in-recent-weeks_6755451_8.html,No, Pierre Breteau,N/A,https://img.lemde.fr/2026/07/10/0/0/3840/2560/664/442/75/0/f3c2a33_upload-1-pzmr8dmczv5t-media-d-appel-light.png
"The International Criminal Court, an imperfect but essential safeguard against impunity",N/A,https://www.lemonde.fr/en/opinion/article/2026/07/16/the-international-criminal-court-an-imperfect-but-essential-safeguard-against-impunity_6755538_23.html,No,No,N/A,No URL
Iran and US slide back into dead end of war,N/A,https://www.lemonde.fr/en/opinion/article/2026/07/15/iran-and-us-slide-back-into-dead-end-of-war_6755492_23.html,No,No,N/A,No URL
'Immigration is beneficial for the economy as a whole. Why is it so unpopular?',N/A,https://www.lemonde.fr/en/opinion/article/2026/07/14/immigration-is-beneficial-for-the-economy-as-a-whole-why-is-it-so-unpopular_6755467_23.html,No,No,N/A,No URL
